"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_4082","","hypothetical protein","2","30","62","114","3.125","79.16666666666666","0.12258064516129032","0.0006542023184613915","1.0","0.08230786938591257","7","2","5","0.4531249999999996","0.4531249999999996"
"group_4143","","hypothetical protein","2","30","62","114","3.125","79.16666666666666","0.12258064516129032","0.0006542023184613915","1.0","0.08230786938591257","5","2","3","1.0","1.0"
"group_4245","","hypothetical protein","2","30","62","114","3.125","79.16666666666666","0.12258064516129032","0.0006542023184613915","1.0","0.08230786938591257","7","2","5","0.4531249999999996","0.4531249999999996"
"group_4260","","hypothetical protein","2","30","62","114","3.125","79.16666666666666","0.12258064516129032","0.0006542023184613915","1.0","0.08230786938591257","4","2","2","1.0","1.0"
"group_3236","glpE_2","hypothetical protein","3","34","61","110","4.6875","76.38888888888889","0.15911282545805208","0.0006691902006491042","1.0","0.0833953373675644","14","3","12","0.012939453124999998","0.05737304687500002"
"group_3328","","hypothetical protein","3","34","61","110","4.6875","76.38888888888889","0.15911282545805208","0.0006691902006491042","1.0","0.0833953373675644","7","2","5","0.4531249999999996","0.4531249999999996"
"group_4359","","hypothetical protein","3","34","61","110","4.6875","76.38888888888889","0.15911282545805208","0.0006691902006491042","1.0","0.0833953373675644","3","2","2","1.0","1.0"
"alg8","","Mannuronan synthase","3","34","61","110","4.6875","76.38888888888889","0.15911282545805208","0.0006691902006491042","1.0","0.0833953373675644","3","3","2","0.25","1.0"
"group_1495","","hypothetical protein","23","20","41","124","35.9375","86.11111111111111","3.478048780487805","0.0006693315406769724","1.0","0.0833953373675644","26","15","14","0.5571970939636235","0.8450189828872682"
"sbp","","Sulfate-binding protein","27","98","37","46","42.1875","31.944444444444443","0.3425261996690568","0.0006771906827291948","1.0","0.08421134658286783","25","12","19","0.01463329792022705","0.9999999999999997"
"ynfD","","hypothetical protein","14","67","50","77","21.875","53.47222222222222","0.3217910447761194","0.0007124250515980898","1.0","0.08712822201991191","5","4","3","0.375","1.0"
"rutA","","Dimethyl-sulfide monooxygenase","14","67","50","77","21.875","53.47222222222222","0.3217910447761194","0.0007124250515980898","1.0","0.08712822201991191","14","10","10","0.17956542968750003","0.17956542968750003"
"apaH_1","","Bis(5'-nucleosyl)-tetraphosphatase, symmetrical","10","56","54","88","15.625","61.111111111111114","0.291005291005291","0.0007145015145403456","1.0","0.08712822201991191","14","7","11","0.05737304687500002","1.0"
"group_10032","","hypothetical protein","6","0","58","144","9.375","100.0","inf","0.0007169095121950723","1.0","0.08712822201991191","5","5","0","0.0625","0.0625"
"group_8787","","hypothetical protein","6","0","58","144","9.375","100.0","inf","0.0007169095121950723","1.0","0.08712822201991191","3","3","0","0.25","0.25"
"group_9098","","hypothetical protein","6","0","58","144","9.375","100.0","inf","0.0007169095121950723","1.0","0.08712822201991191","2","2","0","0.5","0.5"
"group_9485","","hypothetical protein","6","0","58","144","9.375","100.0","inf","0.0007169095121950723","1.0","0.08712822201991191","5","5","0","0.0625","0.0625"
"mepA_2","","Multidrug export protein MepA","6","0","58","144","9.375","100.0","inf","0.0007169095121950723","1.0","0.08712822201991191","4","4","0","0.125","0.125"
"group_9898","","hypothetical protein","6","0","58","144","9.375","100.0","inf","0.0007169095121950723","1.0","0.08712822201991191","2","2","0","0.5","0.5"
"group_9902","","hypothetical protein","6","0","58","144","9.375","100.0","inf","0.0007169095121950723","1.0","0.08712822201991191","2","2","0","0.5","0.5"
"group_9903","","hypothetical protein","6","0","58","144","9.375","100.0","inf","0.0007169095121950723","1.0","0.08712822201991191","2","2","0","0.5","0.5"
"pigD","","Thiamine diphosphate dependent-3-acetyloctanal synthase PigD","6","0","58","144","9.375","100.0","inf","0.0007169095121950723","1.0","0.08712822201991191","3","3","0","0.25","0.25"
"group_4670","","Sulfide-quinone reductase","15","9","49","135","23.4375","93.75","4.591836734693878","0.0007220249606627976","1.0","0.08758435235089042","13","9","7","0.26684570312499983","0.9999999999999999"
"group_1652","","IS630 family transposase ISSod10","19","14","45","130","29.6875","90.27777777777779","3.9206349206349205","0.0007281803159404391","1.0","0.08816467173658525","17","12","8","0.14346313476562497","0.9999999999999998"
"group_2931","","hypothetical protein","8","51","56","93","12.5","64.58333333333334","0.2605042016806723","0.0007480837844634485","1.0","0.09023462399050576","7","6","6","0.125","0.125"
"group_3039","","hypothetical protein","8","51","56","93","12.5","64.58333333333334","0.2605042016806723","0.0007480837844634485","1.0","0.09023462399050576","12","5","10","0.038574218750000014","0.7744140625000003"
"group_2891","","hypothetical protein","6","44","58","100","9.375","69.44444444444444","0.23510971786833856","0.0007562603337415014","1.0","0.09087987498425208","8","4","7","0.0703125","1.0"
"group_3185","","hypothetical protein","6","44","58","100","9.375","69.44444444444444","0.23510971786833856","0.0007562603337415014","1.0","0.09087987498425208","7","4","6","0.125","0.9999999999999998"
"group_2244","","hypothetical protein","8","50","56","94","12.5","65.27777777777779","0.26857142857142857","0.00077952060810145","1.0","0.09350029741688493","14","6","12","0.012939453124999998","0.7905273437500004"
"group_2462","","hypothetical protein","11","59","53","85","17.1875","59.02777777777778","0.29900863447393666","0.0007880812731433508","1.0","0.09435108590625543","7","6","5","0.125","0.4531249999999996"
"group_1689","","hypothetical protein","23","89","41","55","35.9375","38.19444444444444","0.3466703206357906","0.0008447350684799746","1.0","0.10094584068335698","30","17","19","0.20048842206597323","0.5846647117286928"
"phnE_2","","Phosphate-import permease protein PhnE","20","82","44","62","31.25","43.05555555555556","0.3436807095343681","0.000877325814557834","1.0","0.10447033239956653","23","15","13","0.21003961563110343","0.6776394844055175"
"lolA_1","","hypothetical protein","17","74","47","70","26.5625","48.61111111111111","0.3421506612995975","0.0008774786439123039","1.0","0.10447033239956653","26","14","15","0.5571970939636235","0.8450189828872682"
"yfaL","","hypothetical protein","12","62","52","82","18.75","56.94444444444444","0.3052109181141439","0.0008900640933131459","1.0","0.1054916827520015","21","10","13","0.38331031799316395","1.0"
"group_2461","","hypothetical protein","12","62","52","82","18.75","56.94444444444444","0.3052109181141439","0.0008900640933131459","1.0","0.1054916827520015","15","9","11","0.11846923828124997","0.6072387695312501"
"group_1832","leuA","2-isopropylmalate synthase","21","84","43","60","32.8125","41.66666666666667","0.3488372093023256","0.0008926206687886146","1.0","0.1054916827520015","21","10","17","0.0071973800659179705","1.0"
"group_1804","","putative ketoamine kinase","43","60","21","84","67.1875","58.333333333333336","2.8666666666666667","0.0008926206687886147","1.0","0.1054916827520015","17","10","11","0.33230590820312506","0.629058837890625"
"gcd","","Quinoprotein glucose dehydrogenase","22","86","42","58","34.375","40.27777777777778","0.3532668881506091","0.0009069913953892097","1.0","0.10699336477241775","19","11","12","0.3592834472656249","0.6476058959960938"
"aroP","","Aromatic amino acid transport protein AroP","23","88","41","56","35.9375","38.88888888888889","0.35698447893569846","0.0009201452839461976","1.0","0.10834626456077838","14","9","10","0.17956542968750003","0.4239501953124999"
"group_3222","","hypothetical protein","5","40","59","104","7.8125","72.22222222222221","0.22033898305084745","0.0009273903135149939","1.0","0.1085711414689643","9","5","5","1.0","1.0"
"thrH","","Phosphoserine phosphatase","5","40","59","104","7.8125","72.22222222222221","0.22033898305084745","0.0009273903135149939","1.0","0.1085711414689643","6","4","4","0.6875000000000002","0.6875000000000002"
"group_2768","","hypothetical protein","5","41","59","103","7.8125","71.52777777777779","0.21289789169078133","0.0009296365639976812","1.0","0.1085711414689643","9","4","8","0.0390625","1.0"
"group_2141","","hypothetical protein","12","61","52","83","18.75","57.638888888888886","0.31399747793190413","0.0009304988093107795","1.0","0.1085711414689643","19","10","14","0.06356811523437494","1.0"
"group_2391","","hypothetical protein","12","61","52","83","18.75","57.638888888888886","0.31399747793190413","0.0009304988093107795","1.0","0.1085711414689643","16","7","13","0.021270751953125","0.8036193847656252"
"argO","","Arginine exporter protein ArgO","43","126","21","18","67.1875","12.5","0.2925170068027211","0.0009344006531184515","1.0","0.10882889925659124","19","10","13","0.16706848144531244","1.0"
"group_3020","","hypothetical protein","19","15","45","129","29.6875","89.58333333333334","3.631111111111111","0.0009677954529295218","1.0","0.11231143946623084","16","11","11","0.21011352539062492","0.21011352539062492"
"ompA","","Outer membrane protein A","19","15","45","129","29.6875","89.58333333333334","3.631111111111111","0.0009677954529295218","1.0","0.11231143946623084","18","12","11","0.23788452148437486","0.48068237304687483"
"group_3549","","hypothetical protein","1","24","63","120","1.5625","83.33333333333334","0.07936507936507936","0.0009806232542720816","1.0","0.11278219971450161","5","1","4","0.375","0.375"
"group_4676","","hypothetical protein","1","24","63","120","1.5625","83.33333333333334","0.07936507936507936","0.0009806232542720816","1.0","0.11278219971450161","2","1","1","1.0","1.0"
"group_4726","","hypothetical protein","1","24","63","120","1.5625","83.33333333333334","0.07936507936507936","0.0009806232542720816","1.0","0.11278219971450161","6","1","5","0.21875000000000003","0.21875000000000003"
"group_4926","","hypothetical protein","1","24","63","120","1.5625","83.33333333333334","0.07936507936507936","0.0009806232542720816","1.0","0.11278219971450161","3","1","2","1.0","1.0"
"group_5126","","hypothetical protein","1","24","63","120","1.5625","83.33333333333334","0.07936507936507936","0.0009806232542720816","1.0","0.11278219971450161","2","1","1","1.0","1.0"
"dnaK_2","","Chaperone protein DnaK","35","112","29","32","54.6875","22.22222222222222","0.3448275862068966","0.0009892341747544066","1.0","0.11352049369303421","14","7","11","0.05737304687500002","1.0"
"group_2625","","hypothetical protein","1","25","63","119","1.5625","82.63888888888889","0.07555555555555556","0.0010064656235714096","1.0","0.11352049369303421","2","1","1","1.0","1.0"
"group_4001","","hypothetical protein","1","25","63","119","1.5625","82.63888888888889","0.07555555555555556","0.0010064656235714096","1.0","0.11352049369303421","2","1","1","1.0","1.0"
"group_4081","","hypothetical protein","1","25","63","119","1.5625","82.63888888888889","0.07555555555555556","0.0010064656235714096","1.0","0.11352049369303421","2","1","1","1.0","1.0"
"group_4342","","hypothetical protein","1","25","63","119","1.5625","82.63888888888889","0.07555555555555556","0.0010064656235714096","1.0","0.11352049369303421","2","1","1","1.0","1.0"
"ycf3_2","","hypothetical protein","1","25","63","119","1.5625","82.63888888888889","0.07555555555555556","0.0010064656235714096","1.0","0.11352049369303421","9","1","8","0.0390625","0.0390625"
"group_4677","","hypothetical protein","1","25","63","119","1.5625","82.63888888888889","0.07555555555555556","0.0010064656235714096","1.0","0.11352049369303421","2","1","1","1.0","1.0"
"group_4679","","hypothetical protein","1","25","63","119","1.5625","82.63888888888889","0.07555555555555556","0.0010064656235714096","1.0","0.11352049369303421","2","1","1","1.0","1.0"
"group_4728","","hypothetical protein","1","25","63","119","1.5625","82.63888888888889","0.07555555555555556","0.0010064656235714096","1.0","0.11352049369303421","2","1","1","1.0","1.0"
"group_4775","","hypothetical protein","1","25","63","119","1.5625","82.63888888888889","0.07555555555555556","0.0010064656235714096","1.0","0.11352049369303421","3","1","3","0.25","1.0"
"group_5164","","hypothetical protein","1","25","63","119","1.5625","82.63888888888889","0.07555555555555556","0.0010064656235714096","1.0","0.11352049369303421","2","1","1","1.0","1.0"
"mdh","","Malate dehydrogenase","57","98","7","46","89.0625","31.944444444444443","3.8221574344023326","0.0010335492478592148","1.0","0.11616768303167269","8","6","5","0.2890624999999999","0.7265625000000002"
"potD","","hypothetical protein","7","46","57","98","10.9375","68.05555555555556","0.2616323417238749","0.0010335492478592148","1.0","0.11616768303167269","12","4","9","0.14599609375000003","0.3876953125000001"
"group_5308","","hypothetical protein","0","19","64","125","0.0","86.80555555555556","0.0","0.0010661116143054754","1.0","0.1177686972428064","2","0","2","0.5","0.5"
"group_5368","","hypothetical protein","0","19","64","125","0.0","86.80555555555556","0.0","0.0010661116143054754","1.0","0.1177686972428064","1","0","1","1.0","1.0"
"group_5449","","hypothetical protein","0","19","64","125","0.0","86.80555555555556","0.0","0.0010661116143054754","1.0","0.1177686972428064","2","0","2","0.5","0.5"
"group_5777","","hypothetical protein","0","19","64","125","0.0","86.80555555555556","0.0","0.0010661116143054754","1.0","0.1177686972428064","2","0","2","0.5","0.5"
"group_5838","","hypothetical protein","0","19","64","125","0.0","86.80555555555556","0.0","0.0010661116143054754","1.0","0.1177686972428064","1","0","1","1.0","1.0"
"group_5839","","hypothetical protein","0","19","64","125","0.0","86.80555555555556","0.0","0.0010661116143054754","1.0","0.1177686972428064","1","0","1","1.0","1.0"
"group_5846","","hypothetical protein","0","19","64","125","0.0","86.80555555555556","0.0","0.0010661116143054754","1.0","0.1177686972428064","1","0","1","1.0","1.0"
"group_5848","","hypothetical protein","0","19","64","125","0.0","86.80555555555556","0.0","0.0010661116143054754","1.0","0.1177686972428064","1","0","1","1.0","1.0"
