"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"speD","","S-adenosylmethionine decarboxylase proenzyme","86","8","93","21","48.04469273743017","72.41379310344827","2.4274193548387095","0.04544230596323447","1.0","1.0","15","9","7","0.6072387695312501","0.9999999999999997"
"mtnB","","Methylthioribulose-1-phosphate dehydratase","132","16","47","13","73.74301675977654","44.827586206896555","2.2819148936170213","0.04828346519803813","1.0","1.0","17","10","7","0.629058837890625","0.629058837890625"
"yedP","","Mannosyl-3-phosphoglycerate phosphatase","58","4","121","25","32.402234636871505","86.20689655172413","2.9958677685950414","0.04893602749090553","1.0","1.0","12","10","4","0.038574218750000014","0.3876953125000001"
"group_2599","","hypothetical protein","58","4","121","25","32.402234636871505","86.20689655172413","2.9958677685950414","0.04893602749090553","1.0","1.0","11","9","3","0.06542968749999997","0.22656250000000003"
"ybgI","","GTP cyclohydrolase 1 type 2 ","157","29","22","0","87.70949720670392","0.0","0.0","0.04920616047024984","1.0","1.0","3","0","3","0.25","0.25"
"group_2989","","hypothetical protein","22","0","157","29","12.290502793296088","100.0","inf","0.04920616047024984","1.0","1.0","7","7","0","0.015625","0.015625"
"cas1","","CRISPR-associated endonuclease Cas1","22","0","157","29","12.290502793296088","100.0","inf","0.04920616047024984","1.0","1.0","12","12","0","0.00048828125","0.00048828125"
"group_3649","","hypothetical protein","22","0","157","29","12.290502793296088","100.0","inf","0.04920616047024984","1.0","1.0","9","9","0","0.00390625","0.00390625"
"group_4660","","hypothetical protein","22","0","157","29","12.290502793296088","100.0","inf","0.04920616047024984","1.0","1.0","4","4","0","0.125","0.125"
"group_4773","","hypothetical protein","22","0","157","29","12.290502793296088","100.0","inf","0.04920616047024984","1.0","1.0","10","10","0","0.001953125","0.001953125"
"group_4862","","hypothetical protein","22","0","157","29","12.290502793296088","100.0","inf","0.04920616047024984","1.0","1.0","7","7","0","0.015625","0.015625"
"group_4957","","hypothetical protein","22","0","157","29","12.290502793296088","100.0","inf","0.04920616047024984","1.0","1.0","2","2","0","0.5","0.5"
"group_5043","","hypothetical protein","22","0","157","29","12.290502793296088","100.0","inf","0.04920616047024984","1.0","1.0","5","5","0","0.0625","0.0625"
"group_5087","","hypothetical protein","22","0","157","29","12.290502793296088","100.0","inf","0.04920616047024984","1.0","1.0","5","5","0","0.0625","0.0625"
"group_3058","","hypothetical protein","42","2","137","27","23.463687150837988","93.10344827586206","4.138686131386861","0.04921406880380742","1.0","1.0","18","17","2","0.00014495849609375","0.0013122558593750002"
"nhaP","","hypothetical protein","42","2","137","27","23.463687150837988","93.10344827586206","4.138686131386861","0.04921406880380742","1.0","1.0","10","8","2","0.10937500000000003","0.10937500000000003"
"group_3375","","hypothetical protein","42","2","137","27","23.463687150837988","93.10344827586206","4.138686131386861","0.04921406880380742","1.0","1.0","6","6","2","0.03125","0.6875000000000002"
"group_3468","","hypothetical protein","42","2","137","27","23.463687150837988","93.10344827586206","4.138686131386861","0.04921406880380742","1.0","1.0","11","10","2","0.011718750000000002","0.06542968749999997"
"group_3015","","hypothetical protein","43","2","136","27","24.022346368715084","93.10344827586206","4.268382352941177","0.0493258226516168","1.0","1.0","13","13","0","0.000244140625","0.000244140625"
"pld","","Phospholipase D","43","2","136","27","24.022346368715084","93.10344827586206","4.268382352941177","0.0493258226516168","1.0","1.0","15","13","2","0.007385253906249998","0.007385253906249998"
"dap_1","","hypothetical protein","23","8","156","21","12.849162011173185","72.41379310344827","0.3870192307692308","0.04970669568557611","1.0","1.0","15","10","6","0.30175781250000017","0.6072387695312501"
"azoR","","FMN-dependent NADH-azoreductase","156","21","23","8","87.15083798882681","27.586206896551722","2.5838509316770186","0.04970669568557612","1.0","1.0","14","5","11","0.05737304687500002","0.4239501953124999"
